DocID,D,A
doc-01,61,18
doc-02,66,29
doc-03,63,27
doc-04,57,44
doc-05,69,55
doc-06,77,42
doc-07,64,44
doc-08,68,18
doc-09,61,30
doc-10,54,71
doc-11,57,61
doc-12,42,63
doc-13,25,62
doc-14,27,60
doc-15,20,72
doc-16,30,49
doc-17,19,62
doc-18,18,36
doc-19,18,42
doc-20,21,40
doc-21,14,38
doc-22,18,40
doc-23,19,35
doc-24,6,49
doc-25,14,38
